departamento,anio,uso_cabina_porc,tel_fija_unid,tel_movil_unid,tel_pub_unid,uso_inter_porc,sub_inter_fijo_unid,vab_tel_miles_2007,pbi_regional_miles,hogar_1_radio_porc,hogar_1_tv_porc,hogar_con_cable_porc,hogar_1_compu_porc,compus,id_logit
Apurímac,2014,12.103800804552026,10840.0,309813.0,1677.0,19.12095572318673,4669.0,44000.0,2437434,84.94775554968706,61.905959241323714,19.02877999119865,16.8596478336083,917.0,Bajo
Apurímac,2015,13.622081259335422,11077.0,316498.0,1477.0,20.953621476906243,5824.0,48304.0,2630345,85.01076825248197,63.11187031570854,17.0,15.6,810.0,Bajo
Apurímac,2016,13.789307234873563,8210.0,324688.0,1277.0,21.960331649250097,5995.0,51781.0,6343065,82.79149799731356,62.48822423856215,23.1,26.4,3200.0,Bajo
Apurímac,2017,9.95270799406862,8336.0,307204.0,1193.0,21.95091416669225,6645.0,54497.0,7718535,83.07604179694327,58.47651147044124,9.5,13.7,1067.0,Bajo
Apurímac,2018,7.798738535435524,6639.0,302806.0,1060.0,19.205767140874393,6714.0,56069.0,7131314,80.07313429299032,60.469156982812,26.5,37.2,3400.0,Bajo
Apurímac,2019,9.140589088967497,5965.0,345165.0,699.0,31.60541904466797,6417.0,61006.0,7170478,79.9173284007377,63.00122166350577,7.2,13.4,1674.0,Bajo
Apurímac,2020,1.89708487746967,5005.0,384767.0,601.0,40.538039209122324,9256.0,66592.0,6437777,86.1521504540482,61.35192274249091,9.4,14.5,3608.0,Bajo
Apurímac,2021,0.5612303761773455,4744.0,417654.0,366.0,56.95626019454239,10535.0,75285.0,6593721,78.48911458075078,59.11728232712785,51.9,41.8,1452.0,Bajo
Arequipa,2011,22.542698181465333,148915.0,1149421.0,11281.0,42.8,64879.0,594808.0,21038813,90.4607173122393,92.88757272458919,15.0,23.1,5723.0,Alto
Arequipa,2012,22.722291699023447,153980.0,1277135.0,12333.0,45.01378942800155,77187.0,685598.0,22033542,88.9,92.3,6.5,10.1,1551.0,Alto
Arequipa,2013,20.05882027338948,152003.0,1365147.0,12373.0,44.87737804096414,85243.0,748755.0,22629103,90.93569791123437,93.14389485697268,19.6,16.4,1415.0,Alto
Arequipa,2014,20.908993385068314,151126.0,1442598.0,12373.0,46.04796087846345,94279.0,820052.0,22773308,87.01288213143809,92.52495401151086,26.5,30.0,1415.0,Alto
